 >> TARTAROS @ 17-Dec-2023 12:20:34 <<

   1: Black Soul Choir | 16 Horsepower
1931: The Dream Is Always The Same - From 'Risky Business' Original Motion Picture Soundtrack | Tangerine Dream
1932: Cinnamon Road | Tangerine Dream
1933: Sphinx Lightning | Tangerine Dream
1934: Black Tongue | Yeah Yeah Yeahs
1935: Rich | Yeah Yeah Yeahs
1936: Y Control | Yeah Yeah Yeahs
1937: Into The Void | Nine Inch Nails
1938: Pilgrimage | Nine Inch Nails
1939: The Wretched | Nine Inch Nails
1940: The Frail | Nine Inch Nails
1941: La Mer | Nine Inch Nails
1942: Just Like You Imagined | Nine Inch Nails
1943: In Your House | The Cure
1944: Seventeen Seconds | The Cure
1945: Overgrown | James Blake
1946: I Am Sold | James Blake
1947: Life Round Here | James Blake
1948: Voyeur | James Blake
1949: Kum Aher Du Filosof | Dudelim
1950: Kings Meadow | Mogwai
1951: I Love You, I'm Going to Blow Up Your School | Mogwai
1952: Danphe and the Brain | Mogwai
1953: Scotland's Shame | Mogwai
1954: Thank You Space Expert | Mogwai
1955: Ascension (feat. Vince Staples) | Gorillaz, Vince Staples
1956: Strobelite (feat. Peven Everett) | Gorillaz, Peven Everett
1957: Momentz (feat. De La Soul) | Gorillaz, De La Soul, Kelvin Mercer
1958: Charger (feat. Grace Jones) | Gorillaz, Grace Jones
1959: Andromeda (feat. DRAM) | Gorillaz, DRAM
1960: Busted and Blue | Gorillaz
1961: We Got the Power (feat. Jehnny Beth) | Gorillaz, Jehnny Beth
1962: Fairweather Friends | Queens of the Stone Age
1963: My God Is the Sun | Queens of the Stone Age
1964: I Appear Missing | Queens of the Stone Age
1965: I Sat by the Ocean | Queens of the Stone Age
1966: Keep Your Eyes Peeled | Queens of the Stone Age
1967: Love Is Blindness | U2
1968: Ultra Violet (Light My Way) | U2
1969: So Cruel | U2
1970: San Tropez - 2011 Remastered Version | Pink Floyd
1971: Fearless - 2011 Remastered Version | Pink Floyd
1972: White Shadows | Coldplay
1973: Talk | Coldplay
1974: Square One | Coldplay
1975: X&Y | Coldplay
1976: A Message | Coldplay
1977: Glóð | Sigur Rós
1978: Klettur | Sigur Rós
1979: Business | Eminem
1980: Cleanin' Out My Closet | Eminem
1981: Hailie's Song | Eminem
1982: Till I Collapse | Eminem, Nate Dogg
1983: Mercy Mercy Me (The Ecology) | Marvin Gaye
1984: Cover Me | Bruce Springsteen
1985: No Surrender | Bruce Springsteen
1986: I'm Goin' Down | Bruce Springsteen
1987: Glory Days | Bruce Springsteen
1988: Come sei veramente | Giovanni Allevi
1989: Soul Kitchen | The Doors
1990: Alabama Song (Whisky Bar) | The Doors
1991: End of the Night | The Doors
1992: Givin' Up | The Darkness
1993: Friday Night | The Darkness
1994: Holding My Own | The Darkness
1995: Heat Miser | Massive Attack
1996: Better Things | Massive Attack
1997: Highway 61 Revisited | Bob Dylan
1998: Tombstone Blues | Bob Dylan
1999: From a Buick 6 | Bob Dylan
2000: Miglioramento | Verdena
2001: Lui Gareggia | Verdena
2002: Il Nulla Di O. | Verdena
2003: Castelli Per Aria | Verdena
2004: Sorriso In Spiaggia Part II | Verdena
2005: Attonito | Verdena
2006: E' Solo Lunedì | Verdena
2007: Tu E Me | Verdena
2008: Badea Blues | Verdena
2009: Nuova Luce | Verdena
2010: Grattacielo | Verdena
2011: A Capello | Verdena
2012: Canzone Ostinata | Verdena
2013: A Pain That I'm Used To | Depeche Mode
2014: Suffer Well | Depeche Mode
2015: The Sinner in Me | Depeche Mode
2016: Lilian | Depeche Mode
2017: L'equilibrista | Marta Sui Tubi
2018: Muscoli e dei | Marta Sui Tubi
2019: Post | Marta Sui Tubi
2020: Sei dicembre | Marta Sui Tubi
2021: Il giorno del mio compleanno | Marta Sui Tubi
2022: Sole | Marta Sui Tubi
2023: Stento | Marta Sui Tubi
2024: BREAKFAST | half•alive
2025: TrusT | half•alive
2026: To Cure A Weakling Child | Aphex Twin
2027: Goon Gumpas | Aphex Twin
2028: Girl/Boy Song | Aphex Twin
2029: We Suck Young Blood | Radiohead
2030: Sit Down. Stand Up | Radiohead
2031: Dirty Weekend - 2008 Remaster | Rod Stewart
2032: Is That the Thanks I Get? - 2008 Remaster | Rod Stewart
2033: Blondes (Have More Fun) - 2008 Remaster | Rod Stewart
2034: I'll Be Your Mirror | The Velvet Underground, Nico
2035: Run Run Run | The Velvet Underground, Nico
2036: I'm Waiting For The Man | The Velvet Underground, Nico
2037: Ramble Tamble | Creedence Clearwater Revival
2038: Before You Accuse Me (Take A Look At Yourself) | Creedence Clearwater Revival
2039: Lookin' Out My Back Door | Creedence Clearwater Revival
2040: Who'll Stop The Rain | Creedence Clearwater Revival
2041: Long As I Can See The Light | Creedence Clearwater Revival
2042: Infra-Red | Placebo
2043: Space Monkey | Placebo
2044: Post Blue | Placebo
2045: Baloney Again | Mark Knopfler
2046: Prairie Wedding | Mark Knopfler
2047: Junkie Doll | Mark Knopfler
2048: Sitting On Top Of The World | Cream
2049: Norman fucking Rockwell | Lana Del Rey
2050: Fuck it I love you | Lana Del Rey
2051: Mariners Apartment Complex | Lana Del Rey
2052: Lovelorn Man | Francesco Nuti, Giovanni Nuti
2053: Castles Made of Sand - 2006 Remaster | Red Hot Chili Peppers
2054: Sir Psycho Sexy | Red Hot Chili Peppers
2055: Sexy Boy | Air
2056: You Make It Easy | Air, Beth Hirsch
2057: Talisman | Air
2058: Kelly Watch the Stars | Air
2059: Big Beat | Touch & Go
2060: Tango In Harlem | Touch & Go
2061: Out Of The Blue | Roxy Music
2062: Bitter Sweet | Roxy Music
2063: Only If For A Night | Florence + The Machine
2064: Lover To Lover | Florence + The Machine
2065: Seven Devils | Florence + The Machine
2066: Spectrum | Florence + The Machine
2067: Leave My Body | Florence + The Machine
2068: Silver Rocket (Album Version) | Sonic Youth
2069: Rain King (Album Version) | Sonic Youth
2070: Kissability (Album Version) | Sonic Youth
2071: B) Hyperstation (Album Version) | Sonic Youth
2072: Two Of Us - Remastered | The Beatles
2073: I Me Mine - Remastered | The Beatles
2074: I've Got A Feeling - Remastered | The Beatles
2075: One After 909 - Remastered | The Beatles
2076: For You Blue - Remastered | The Beatles
2077: Wire - Remastered 2009 | U2
2078: Welcome To The Machine - 2011 Remaster | Pink Floyd
2079: Have A Cigar - 2011 Remaster | Pink Floyd
2080: Something In The Way | Nirvana
2081: Drain You | Nirvana
2082: Polly | Nirvana
2083: Lithium | Nirvana
2084: In Bloom | Nirvana
2085: Deja Vu | Yeah Yeah Yeahs
2086: Swarfiga | Kasabian
2087: Fast Fuse | Kasabian
2088: Take Aim | Kasabian
2089: Thick as Thieves | Kasabian
2090: West Ryder Silver Bullet | Kasabian
2091: Mandrake | Georges Chatelain & Getaroom
2092: Crash into Me | Dave Matthews Band
2093: Brush Up Your Shakespeare | Broadway Cast Recording
2094: You Can't Judge A Book By Its Cover | Bo Diddley
2095: Strawberry Swing | Coldplay
2096: 42 | Coldplay
2097: Life in Technicolor | Coldplay
2098: Classic Girl | Jane's Addiction
2099: Then She Did... | Jane's Addiction
2100: Of Course | Jane's Addiction
2101: Obvious | Jane's Addiction
2102: Stop | Jane's Addiction
2103: Nicotine | Jane Birkin
2104: I Don't Want to Know - 2004 Remaster | Fleetwood Mac
2105: Never Going Back Again - 2004 Remaster | Fleetwood Mac
2106: Don't Stop - 2004 Remaster | Fleetwood Mac
2107: Something Beautiful | Robbie Williams
2108: Sexed Up | Robbie Williams
2109: The Carousel Waltz | Richard Rodgers, New York Philharmonic
2110: Venice Queen | Red Hot Chili Peppers
2111: Midnight | Red Hot Chili Peppers
2112: Cabron | Red Hot Chili Peppers
2113: Dosed | Red Hot Chili Peppers
2114: This Is the Place | Red Hot Chili Peppers
2115: Packt Like Sardines In a Crushd Tin Box | Radiohead
2116: Knives Out | Radiohead
2117: Morning Bell/Amnesiac | Radiohead
2118: Life In a Glasshouse | Radiohead
2119: Lucy In The Sky With Diamonds - Remastered | The Beatles
2120: Getting Better - Remastered | The Beatles
2121: She's Leaving Home - Remastered | The Beatles
2122: When I'm Sixty Four - Remastered | The Beatles
2123: Within You Without You - Remastered | The Beatles
2124: Lovely Rita - Remastered | The Beatles
2125: Too Much Information | The Police
2126: One World (Not Three) | The Police
2127: Hungry For You | The Police
2128: Easier to Run | Linkin Park
2129: Lying from You | Linkin Park
2130: Faint | Linkin Park
2131: Figure.09 | Linkin Park
2132: Farewell | Francesco Guccini
2133: Vertigo | U2
2134: Miracle Drug | U2
2135: Love And Peace Or Else | U2
2136: Yahweh | U2
2137: Fast Cars | U2
2138: When The Angels Fall | Sting
2139: Island Of Souls | Sting
2140: I Won't Back Down | Tom Petty
2141: Love Is A Long Road | Tom Petty
2142: Magic Toy Missing | Meat Puppets
2143: Lake of Fire | Meat Puppets
2144: Climbing | Meat Puppets
2145: Oh, Me | Meat Puppets
2146: I'm A Mindless Idiot | Meat Puppets
2147: Teenager(s) | Meat Puppets
2148: I'm Not Here | Meat Puppets
2149: Aura Borealis | Meat Puppets
2150: Rewrite | Sia
2151: The Bully | Sia
2152: Sistamamalover | Lenny Kravitz
2153: Flash | Lenny Kravitz
2154: Lady | Lenny Kravitz
2155: Calling All Angels | Lenny Kravitz
2156: I Don't Want To Be A Star | Lenny Kravitz
2157: Minister Of Rock 'N Roll | Lenny Kravitz
2158: Mílanó | Sigur Rós
2159: Sé Lest | Sigur Rós
2160: Takk... | Sigur Rós
2161: Glósóli | Sigur Rós
2162: Stop Crying Your Heart Out | Oasis
2163: Funeral For A Great Drunken Bird | All Them Witches
2164: The Death Of Coyote Woman | All Them Witches
2165: Romany Dagger | All Them Witches
2166: She's Electric | Oasis
2167: Some Might Say | Oasis
2168: Hey Now! | Oasis
2169: Somebody Told Me | The Killers
2170: All These Things That I've Done | The Killers
2171: Andy, You're A Star | The Killers
2172: Call Me Irresponsible - 2001 Remaster | Bobby Darin
2173: She Brings the Rain | CAN
2174: Haunted | Laura Les
2175: The Modern Age | The Strokes
2176: Barely Legal | The Strokes
2177: Someday | The Strokes
2178: Trying Your Luck | The Strokes
2179: Last Nite | The Strokes
2180: Don't Be Cruel | Billy Swan
2181: A Song for You | Donny Hathaway
2182: Work | Charlotte Day Wilson
2183: Say Hello to the Angels | Interpol
2184: Fly Me To The Moon (In Other Words) | Bobby Womack
2185: Going Mobile - Remix | The Who, Andy Macpherson, Jon Astley
2186: Getting In Tune | The Who
2187: Bargain | The Who
2188: bumblebeee | Kasabian
2189: stevie | Kasabian
2190: glass | Kasabian
2191: treat | Kasabian
2192: We Are All Made of Stars | Moby
2193: Signs of Love | Moby
2194: Fireworks | Moby
2195: Extreme Ways | Moby
2196: Jam for the Ladies | Moby
2197: Sunday (The Day Before My Birthday) | Moby
2198: I'm Only Joking | KONGOS
2199: Hey I Don't Know | KONGOS
2200: This Time I Won't Forget | KONGOS
2201: Futures | Jimmy Eat World
2202: Just Tonight | Jimmy Eat World
2203: Work | Jimmy Eat World
2204: Night Drive | Jimmy Eat World
2205: So You Want to Be | Patti Smith
2206: Frederick | Patti Smith
2207: Broken Flag | Patti Smith
2208: Merry Blues | Manu Chao
2209: Eldorado 1997 | Manu Chao
2210: La Primavera | Manu Chao
2211: Denia | Manu Chao
2212: Deathwish | The Police
2213: The Bed's Too Big Without You | The Police
2214: Reggatta De Blanc | The Police
2215: Country Sad Ballad Man - 2012 Remaster | Blur
2216: Trip Through Your Wires - Remastered 2007 | U2
2217: In God's Country - Remastered 2007 | U2
2218: Where The Streets Have No Name - Remastered | U2
2219: I'm Just a Killer for Your Love - 2012 Remaster | Blur
2220: On Your Own - 2012 Remaster | Blur
2221: Strange News from Another Star - 2012 Remaster | Blur
2222: This City Never Sleeps - Remastered Version | Eurythmics, Annie Lennox, Dave Stewart
2223: Love Is a Stranger - Remastered Version | Eurythmics, Annie Lennox, Dave Stewart
2224: Somebody Told Me - Remastered Version | Eurythmics, Annie Lennox, Dave Stewart
2225: Monkey Man | The Rolling Stones
2226: Let It Bleed | The Rolling Stones
2227: Country Honk | The Rolling Stones
2228: Love In Vain | The Rolling Stones
2229: Colossal | Wolfmother
2230: Woman | Wolfmother
2231: White Unicorn | Wolfmother
2232: Out In The Street - Mono Version | The Who
2233: The Ox - Mono Version | The Who
2234: The Good's Gone - Mono Version | The Who
2235: This World | The Staple Singers
2236: We The People | The Staple Singers
2237: I'm Just Another Soldier | The Staple Singers
2238: Are You Sure | The Staple Singers
2239: Tomorrow Never Knows - Remastered 2009 | The Beatles
2240: Doctor Robert - Remastered 2009 | The Beatles
2241: I'm Only Sleeping - Remastered 2009 | The Beatles
2242: Down To The Waterline | Dire Straits
2243: Water Of Love | Dire Straits
2244: Portobello Belle | Dire Straits
2245: One Love - 2012 Mix/Master | Massive Attack
2246: Be Thankful For What You've Got - 2012 Mix/Master | Massive Attack
2247: Hymn Of The Big Wheel - 2012 Mix/Master | Massive Attack
2248: Zooropa | U2
2249: Numb | U2
2250: Daddy's Gonna Pay For Your Crashed Car | U2
2251: Babyface | U2
2252: Sonnet | The Verve
2253: The Rolling People | The Verve
2254: The Drugs Don't Work | The Verve
2255: Velvet Morning | The Verve
2256: This Time | The Verve
2257: Weeping Willow | The Verve
2258: Beauty and the Beast - 1999 Remaster | David Bowie
2259: Sons of the Silent Age - 1999 Remaster | David Bowie
2260: V-2 Schneider - 1999 Remaster | David Bowie
2261: The Secret Life of Arabia - 1999 Remaster | David Bowie
2262: The Air Near My Fingers | The White Stripes
2263: Girl, You Have No Faith In Medicine | The White Stripes
2264: It's True That We Love One Another | The White Stripes
2265: Heavy Cloud No Rain | Sting
2266: Epilogue (Nothing 'Bout Me) | Sting
2267: Already Yours | Curve
2268: Think And Act | Curve
2269: Take the Power Back | Rage Against The Machine
2270: Freedom | Rage Against The Machine
2271: Man Research (Clapper) | Gorillaz
2272: Latin Simone (Que Pasa Contigo) | Gorillaz
2273: Buona Sera - Remastered 2002 | Louis Prima, Keely Smith, Sam Butera & The Witnesses
2274: A Kiss for the Whole World x | Enter Shikari
2275: (pls) set me on fire | Enter Shikari
2276: Living For The City | Stevie Wonder
2277: He's Misstra Know-It-All | Stevie Wonder
2278: Jesus Children Of America | Stevie Wonder
2279: Golden Lady | Stevie Wonder
2280: Visions | Stevie Wonder
2281: Too High | Stevie Wonder
2282: God Fearing Man | Ben Harper
2283: One Road To Freedom | Ben Harper
2284: Power Of The Gospel | Ben Harper
2285: Oppression | Ben Harper
2286: Gold To Me | Ben Harper
2287: Fight For Your Mind | Ben Harper
2288: People Lead | Ben Harper
2289: Burn One Down | Ben Harper
2290: True To Life | Roxy Music
2291: To Turn You On | Roxy Music
2292: It's A Fire | Portishead
2293: Strangers | Portishead
2294: Mysterons | Portishead
2295: Wandering Star | Portishead
2296: Numb | Portishead
2297: Pedestal | Portishead
2298: Biscuit | Portishead
2299: Goodnight Ladies | Lou Reed
2300: Make Up | Lou Reed
2301: New York Telephone Conversation | Lou Reed
2302: I Can't Be With You | The Cranberries
2303: Yeats' Grave | The Cranberries
2304: Daffodil Lament | The Cranberries
2305: The Infant Kiss - 2018 Remaster | Kate Bush
2306: Delius - 2018 Remaster | Kate Bush
2307: Sat In Your Lap - 2018 Remaster | Kate Bush
2308: Get Out Of My House - 2018 Remaster | Kate Bush
2309: Leave It Open - 2018 Remaster | Kate Bush
2310: Red Eyes | The War On Drugs
2311: Eyes To The Wind | The War On Drugs
2312: An Ocean In Between The Waves | The War On Drugs
2313: Burning | The War On Drugs
2314: Fuoco Su Di Te | Marlene Kuntz
2315: New York - Remastered 2012 | Sex Pistols
2316: Seventeen - Remastered 2012 | Sex Pistols
2317: Liar - Remastered 2012 | Sex Pistols
2318: Charlie Brown | Coldplay
2319: Every Teardrop Is a Waterfall | Coldplay
2320: Mylo Xyloto | Coldplay
2321: Dogs - 2011 Remaster | Pink Floyd
2322: Shoot to Thrill | AC/DC
2323: What Do You Do for Money Honey | AC/DC
2324: Vivo | Andrea Laszlo De Simone
2325: Neighborhood #4 (7 Kettles) | Arcade Fire
2326: Haiti | Arcade Fire
2327: Une Annee Sans Lumiere | Arcade Fire
2328: Murder By Numbers | The Police
2329: Brown Eyed Blues | Ben Harper
2330: So High So Low | Ben Harper
2331: Bring The Funk | Ben Harper
2332: Everything | Ben Harper
2333: Temporary Remedy | Ben Harper
2334: Amen Omen | Ben Harper
2335: You Oughta Know - 2015 Remaster | Alanis Morissette
2336: Right Through You - 2015 Remaster | Alanis Morissette
2337: All I Really Want - 2015 Remaster | Alanis Morissette
2338: You Learn - 2015 Remaster | Alanis Morissette
2339: La Distanza | Tiromancino
2340: I Know You (Pt. I) | Morphine
2341: You Look Like Rain | Morphine
2342: Il nulla | Baustelle
2343: Cuore di tenebra | Baustelle
2344: Sergio | Baustelle
2345: Danny Boy | Frank Patterson
2346: Bohemian Landler | Milan Léska, Altprager Musik
2347: Baby, Please Don't Go - From Sons of Anarchy | Franky Perez, The Forest Rangers
2348: Dragon Attack - Remastered 2011 | Queen
2349: Play The Game - Remastered 2011 | Queen
2350: Sail Away Sweet Sister - Remastered 2011 | Queen
2351: Another One Bites The Dust - Remastered 2011 | Queen
2352: Voodoo Chile | Jimi Hendrix
2353: Giai Phong | Eugenio Finardi
2354: Scimmia | Eugenio Finardi
2355: Diesel | Eugenio Finardi
2356: Non Diventare Grande Mai | Eugenio Finardi
2357: Tutto Subito | Eugenio Finardi
2358: Jesus of Suburbia | Green Day
2359: Boulevard of Broken Dreams | Green Day
2360: All of This Could Have Been Yours | Shooter Jennings
2361: House of the Rising Sun (with The Forest Rangers) - Season 4 Finale Version | The White Buffalo, The Forest Rangers
2362: Ai No Corrida | Quincy Jones, Charles May
2363: Just Once | Quincy Jones
2364: Mellowing | All Them Witches
2365: Instrumental 2 (Welcome To The Caveman Future) | All Them Witches
2366: Open Passageways | All Them Witches
2367: Köln, January 24, 1975, Pt. I - Live | Keith Jarrett
2368: 'Long As You Know You're Living Yours | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2369: Just Like We Do | Sleaford Mods
2370: Drayton Manored | Sleaford Mods
2371: Messy Anywhere | Sleaford Mods
2372: Moptop | Sleaford Mods
2373: Ed Io Tra Di Voi (Et Moi Dans Mon Coin) | Charles Aznavour
2374: Parce Mihi Domine | Jan Garbarek, Cristobal de Morales, The Hilliard Ensemble
2375: Kreuzberg | Bloc Party
2376: No Surprises | Radiohead
2377: Lucky | Radiohead
2378: Electioneering | Radiohead
2379: Folk Death 95 | Mogwai
2380: We're No Here | Mogwai
2381: Glasgow Mega-Snake | Mogwai
2382: Impossible Germany | Wilco
2383: Shake It Off | Wilco
2384: Side with the Seeds | Wilco
2385: Embryons desséchés: II. d'Edriophthalma | Erik Satie, Alexandre Tharaud
2386: Gnossiennes: n° 4 | Erik Satie, Alexandre Tharaud
2387: Gnossienne: No. 3 | Erik Satie, Alexandre Tharaud
2388: Véritables Préludes flasques (pour un chien): On joue | Erik Satie, Alexandre Tharaud
2389: Thela Hun Ginjeet | King Crimson
2390: Indiscipline | King Crimson
2391: Tarantella reggina / Zumpariello - Calabria | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
2392: Minatori non partite - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
2393: Mamma mia dammi cento lire - Romagna | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
2394: Amorosetta - Polka | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
2395: Alla fine (feat. Diodato) | Daniele Silvestri, Diodato
2396: Quali alibi | Daniele Silvestri
2397: A Prayer For England | Massive Attack
2398: Everywhen | Massive Attack
2399: Tonight | Ozzy Osbourne
2400: You Can't Kill Rock and Roll | Ozzy Osbourne
2401: The Guns of Brixton - Remastered | The Clash
2402: Midnight Drive | Still Corners
2403: Beatcity | Still Corners
2404: Mellow Song | Blur
2405: Intro | Warpaint
2406: Voce E Linda - Remixed Original Album | Caetano Veloso
2407: Samba De Verão | Caetano Veloso
2408: Sozinho - Ao Vivo | Caetano Veloso
2409: In a Silent Way | Joe Zawinul, Lewis Hahn
2410: Haydn: Cello Concerto No. 1 in C Major, Hob. VIIb, 1: II. Adagio (Cadenza by Britten) | Joseph Haydn, Mstislav Rostropovich, Academy of St. Martin in the Fields
2411: I Only Have Eyes for You | The Flamingos
2412: A Little Less Conversation - JXL Radio Edit Remix | Elvis Presley, Junkie XL
2413: Entry of the Gods into Valhalla | Richard Wagner, London Symphony Orchestra, Yondani Butt
2414: Kansas City | Albert King
2415: Don Giovanni, K. 527: Overture | Wolfgang Amadeus Mozart, Prague Chamber Orchestra, Oldřich Vlček
2416: Les fleurs sont des mots d'amour | Danielle Darrieux
2417: Vietnam Blues | J.B. Lenoir
2418: Dallas | Johnny Winter
2419: Worried Life Blues | Big Maceo
2420: Roll 'Em Pete | Big Joe Turner
2421: There's Frost On The Moon | Artie Shaw, Peg LaCentra
2422: The Good, The Bad And The Ugly - 2004 Remaster | Ennio Morricone
2423: My Daddy Rocks Me | Trixie Smith
2424: Back Door Blues | James Kokomo Arnold
2425: Ravel: Pavane pour une infante défunte, M. 19 | Maurice Ravel, Bertrand Chamayou
2426: The Carny - 2009 Remastered Version | Nick Cave & The Bad Seeds
2427: Your Funeral My Trial - 2009 Remastered Version | Nick Cave & The Bad Seeds
2428: Long Time Man - 2009 Remastered Version | Nick Cave & The Bad Seeds
2429: In A Little While | U2
2430: Wild Honey | U2
2431: The Ground Beneath Her Feet | U2
2432: Look Here - Remastered | The Clash
2433: Somebody Got Murdered - Remastered | The Clash
2434: Up In Heaven (Not Only Here) - Remastered | The Clash
2435: If Music Could Talk - Remastered | The Clash
2436: The Sound of Sinners - Remastered | The Clash
2437: Midnight Log - Remastered | The Clash
2438: The Call Up - Remastered | The Clash
2439: Washington Bullets - Remastered | The Clash
2440: Charlie Don't Surf - Remastered | The Clash
2441: Hit So Hard | Hole
2442: Dying | Hole
2443: Use Once & Destroy | Hole
2444: Pay No Mind (Snoozer) | Beck
2445: Fuckin With My Head (Mountain Dew Rock) | Beck
2446: Beercan | Beck
2447: Steal My Body Home | Beck
2448: Blackhole | Beck
2449: To Sheila | The Smashing Pumpkins
2450: Perfect | The Smashing Pumpkins
2451: Daphne Descends | The Smashing Pumpkins
2452: Tear | The Smashing Pumpkins
2453: The Tale Of Dusty And Pistol Pete | The Smashing Pumpkins
2454: For Martha | The Smashing Pumpkins
2455: Born Under Punches (The Heat Goes On) | Talking Heads
2456: Once in a Lifetime | Talking Heads
2457: The Overload | Talking Heads
2458: Questar | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2459: My Song | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2460: Tabarka | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2461: Country | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2462: The Journey Home | Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen
2463: World In My Eyes | Depeche Mode
2464: Halo | Depeche Mode
2465: Long Snake Moan | PJ Harvey
2466: The Dancer | PJ Harvey
2467: Working For The Man | PJ Harvey
2468: Meet Ze Monsta | PJ Harvey
2469: Helter Skelter - Live | U2
2470: Hawkmoon 269 | U2
2471: All Along The Watchtower - Live - Rattle & Hum Version | U2
2472: Pride (In The Name Of Love) - Live - Rattle & Hum Version | U2
2473: Heartland | U2
2474: Calm Like a Bomb | Rage Against The Machine
2475: Obvious | blink-182
2476: I Miss You | blink-182
2477: All Of This | blink-182, Robert Smith 
2478: Live Long | Kings of Convenience
2479: Cayman Islands | Kings of Convenience
2480: Homesick | Kings of Convenience
2481: Breathe (In The Air) - 2011 Remastered Version | Pink Floyd
2482: Us And Them - 2011 Remastered Version | Pink Floyd
2483: Knockers | The Darkness
2484: Bald | The Darkness
2485: Girlfriend | The Darkness
2486: The Battle of Evermore - Remaster | Led Zeppelin
2487: Friends - Remaster | Led Zeppelin
2488: Since I've Been Loving You - Remaster | Led Zeppelin
2489: Tangerine - Remaster | Led Zeppelin
2490: Break My Body - Remastered | Pixies
2491: Broken Face - Remastered | Pixies
2492: Cactus - Remastered | Pixies
2493: Tony's Theme - Remastered | Pixies
2494: I Got a Name - Stereo Version | Jim Croce
2495: Who Did That to You - From "Django Unchained" | Geronimo
2496: Astronomy Domine - 2011 Remaster | Pink Floyd
2497: The Gnome - 2011 Remaster | Pink Floyd
2498: Prinçesa | Fabrizio De André
2499: Le acciughe fanno il pallone | Fabrizio De André
2500: Disamistade | Fabrizio De André
2501: A cumba | Fabrizio De André
2502: The Hands That Built America - Theme From "Gangs Of New York" | U2
2503: Watermark - 2009 Remaster | Enya
2504: Storms in Africa - 2009 Remaster | Enya
2505: Exile - 2009 Remaster | Enya
2506: Na Laetha Geal M'óige - 2009 Remaster | Enya
2507: River - 2009 Remaster | Enya
2508: The Longships - 2009 Remaster | Enya
2509: Everest | All Them Witches
2510: See You Next Fall | All Them Witches
2511: The Children of Coyote Woman | All Them Witches
2512: Lights Out | All Them Witches
2513: Rats in Ruin | All Them Witches
2514: Not Checking Up | Arthur Russell
2515: Fuzzbuster #06 | Arthur Russell
2516: Fuzzbuster #09 | Arthur Russell
2517: aurora rising | Jaimie Branch
2518: baba louie | Jaimie Branch
2519: bolinko bass | Jaimie Branch
2520: take over the world | Jaimie Branch
2521: The Ballad Of Spook & Mercy | Creeper
2522: Lovers Led Astray | Creeper
2523: Giò Song | Negrita
2524: Tanuzzo | Negrita
2525: Stand Up, Sit Down | Bill Frisell
2526: Convict 13 | Bill Frisell
2527: Egg Radio | Bill Frisell
2528: The Bacon Bunch | Bill Frisell
2529: Bob's Monsters | Bill Frisell
2530: Dead Ranch | Bill Frisell
2531: La musica non è una cosa seria | Lo Stato Sociale
2532: Forse più tardi un mango adesso | Lo Stato Sociale
2533: La rivoluzione non passerà in tv | Lo Stato Sociale
2534: Te per canzone una scritta ho | Lo Stato Sociale
2535: Linea 30 | Lo Stato Sociale
2536: Sitting On Top Of The World | Lenny Kravitz
2537: Does Anybody Out There Even Care | Lenny Kravitz
2538: Rosemary | Lenny Kravitz
2539: My Precious Love | Lenny Kravitz
2540: Mi piaccion le sbarbine | Skiantos
2541: Non ti sopporto più | Skiantos
2542: Gelati | Skiantos
2543: Kinotto | Skiantos
2544: Freezer | Skiantos
2545: Fagioli | Skiantos
2546: Mmm...Skyscraper I Love You - Remastered | Underworld
2547: Surfboy - Remastered | Underworld
2548: Cowgirl - Remastered | Underworld
2549: River Of Bass - Remastered | Underworld
2550: Agadir | Savana Funk
2551: Ganimede | Savana Funk
2552: Lipari | Savana Funk
2553: Ayat | Savana Funk
2554: Boubacar | Savana Funk
2555: Salad Days | Mac DeMarco
2556: Let Her Go | Mac DeMarco
2557: Let My Baby Stay | Mac DeMarco
2558: Treat Her Better | Mac DeMarco
2559: MUTISMO SELETTIVO | Nello Taver
2560: HAPPY HIPPO | Nello Taver
2561: BILL COSBY | Nello Taver, Alberi Alti
2562: Flash | Giorgio Gaber
2563: Il delirio | Giorgio Gaber
2564: Il comportamento | Giorgio Gaber
2565: Il sogno di Gesù | Giorgio Gaber
2566: I partiti (prosa) | Giorgio Gaber
2567: Si può | Giorgio Gaber
2568: Il sogno di Marx | Giorgio Gaber
2569: Baratto | Renato Zero
2570: Then I Heard A Bachelor's Cry | Benjamin Clementine
2571: Adios | Benjamin Clementine
2572: The People And I | Benjamin Clementine
2573: Lonely in Your Nightmare - 2009 Remaster | Duran Duran
2574: Hungry Like the Wolf - 2009 Remaster | Duran Duran
2575: New Religion - 2009 Remaster | Duran Duran
2576: Last Chance on the Stairway - 2009 Remaster | Duran Duran
2577: The Chauffeur - 2009 Remaster | Duran Duran
2578: Supernatural Feeling | The Blackbyrds
